title,description,general job classification,skills,formal_requirements
Senior Business Analyst,"Be part of a team that unleashes the power of leading-edge technologies to help improve the health and well-being of those most vulnerable in our country and communities. Working at Gainwell carries its rewards. You’ll have an incredible opportunity to grow your career in a company that values work flexibility, learning, and career development. You’ll add to your technical credentials and certifications while enjoying a generous, flexible vacation policy and educational assistance. We also have comprehensive leadership and technical development academies to help build your skills and capabilities.

Summary

As a Senior Professional Business Process Reengineering - Automation Specialist at Gainwell, you can contribute your skills as we harness the power of technology to help our clients improve the health and well-being of the members they serve — a community’s most vulnerable. Connect your passion with purpose, teaming with people who thrive on finding innovative solutions to some of healthcare’s biggest challenges. Here are the details on this position.

Your role in our mission

 Coordinate with business users to translate business requirements into technical requirements for reporting purposes. Analyzes, plans, and implements moderately complex operational process improvement needs. Supports long-term planning sessions with a single client to improve business processes, generally involving use and improvement of information systems and goals.  Identifies process improvement needs and communicates issues to authorized personnel to ensure that client and company needs are met in a timely manner.  Provides consultation on the use of moderately complex re-engineering techniques to improve process performance and product quality. Deploys plans from conception through closing on moderately complex aspects of re-engineering projects. Develops moderately complex metrics that provide data for process management and indicators for future improvement opportunities. Collects data to identify root cause problems. Researches, recommends, and approves processes to aid in the translation of business objectives into functional requirements and solution design. Measures performance against process requirements, aligning improvement projects to close performance shortfalls.  Serves as an information solution liaison in a specific business unit or organization for process improvement, business processes and systems integration. Works in conjunction with business strategies program leaders to provide desired re-engineering practices and to ensure alignment of re-engineering initiatives to business objectives. Surveys and analyzes best practices for techniques and processes. Supports pilot projects and internal case studies for trial usage improvement methods or approaches.  Works with management to align projects to strategy. Assesses the degree of risk impact, timeframe, and cost of re-engineering required to achieve the desired future state. Acts as re-engineering consultant to other transformation teams in methods, techniques, and tools to ensure adherence to company guidelines. 

What we're looking for

6 years’ experience in Business Process Reengineering experience5 years' experience in SQL / NoSQLExperience working with business processing models, Process Design, Requirements Management, and Project ManagementExperience working with Health Care related data preferred

What you should expect in this role

Fully remote opportunity with the option to work anywhere within the United StateThe team is looking for a Process Engineer with the technical background to implement automation-based process improvements. The deadline to submit applications for this posting is 4/25/2024. 

Video cameras must be used during all interviews, as well as during the initial week of orientation.

The pay range for this position is $69,400.00 - $99,200.00 per year, however, the base pay offered may vary depending on geographic region, internal equity, job-related knowledge, skills, and experience among other factors. Put your passion to work at Gainwell. You’ll have the opportunity to grow your career in a company that values work flexibility, learning, and career development. All salaried, full-time candidates are eligible for our generous, flexible vacation policy, a 401(k) employer match, comprehensive health benefits , and educational assistance. We also have a variety of leadership and technical development academies to help build your skills and capabilities.

We believe nothing is impossible when you bring together people who care deeply about making healthcare work better for everyone. Build your career with Gainwell, an industry leader. You’ll be joining a company where collaboration, innovation, and inclusion fuel our growth. Learn more about Gainwell at our company website and visit our Careers site for all available job role openings.

Gainwell Technologies is committed to a diverse, equitable, and inclusive workplace. We are proud to be an Equal Opportunity Employer, where all qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical condition), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We celebrate diversity and are dedicated to creating an inclusive environment for all employees.",Business Analysis,"['Business Process Reengineering', 'SQL', 'NoSQL', 'Process Design', 'Requirements Management', 'Project Management', 'Health Care related data']","[""6 years' experience in Business Process Reengineering"", ""5 years' experience in SQL / NoSQL"", 'Experience working with business processing models, Process Design, Requirements Management, and Project Management', 'Experience working with Health Care related data preferred']"
Data Analyst,"DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule. 
We are looking for a proficient Data Analyst to join our team to train our AI chatbots. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL) and able to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
Benefits:
This is a full-time or part-time REMOTE positionYou’ll be able to choose which projects you want to work onYou can work on your own scheduleProjects are paid hourly, starting at $40+ USD per hour, with bonuses for high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbotWrite high-quality answers and code snippetsEvaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English (native or bilingual)Proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL)Excellent writing and grammar skillsA bachelor's degree (completed or in progress)
Note: Data Annotation payment is made via PayPal. We will never ask for any money from you. PayPal will handle any currency conversions from USD.",Data & Analytics,"['Python', 'JavaScript', 'HTML', 'C++', 'C#', 'SQL']","[""Bachelor's degree (completed or in progress)"", 'Fluency in English (native or bilingual)', 'Excellent writing and grammar skills']"
Web Developer,"DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.
We are looking for a proficient Web Developer to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL) and able to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
Benefits:
This is a full-time or part-time REMOTE positionYou’ll be able to choose which projects you want to work onYou can work on your own scheduleProjects are paid hourly, starting at $40+ USD per hour, with bonuses for high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbot Write high-quality answers and code snippetsEvaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English (native or bilingual)Proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL)Excellent writing and grammar skillsA bachelor's degree (completed or in progress)
Note: Data Annotation payment is made via PayPal. We will never ask for any money from you. PayPal will handle any currency conversions from USD.",Software Development / Engineering,"['Python', 'JavaScript', 'HTML', 'C++', 'C#', 'SQL']","[""Bachelor's degree (completed or in progress)"", 'Fluency in English (native or bilingual)', 'Excellent writing and grammar skills']"
Senior Business Analyst,"Job Position - Senior Business AnalystJob Location - Dover DELocal to DE
Job Description:We are seeking a skilled Business Analyst (BA) to serve as the eCR Lead, dedicated to driving the implementation of electronic case reporting (eCR) for all reportable conditions. This role is pivotal in advancing the utilization of eCR data in public health to bolster the initiatives of the Department of Public Health (DPH) programs.Responsibilities:Lead eCR Implementation: Spearhead the implementation of electronic case reporting (eCR) for all reportable conditions, ensuring seamless integration and adherence to established standards.Business Systems Analysis: Review, analyze, and evaluate existing business systems and user needs. Formulate systems aligned with overarching business strategies.Business Process Reengineering: Utilize expertise in business process reengineering to identify new applications of technology, enhancing business effectiveness.Solution Development: Prepare solution options, conduct risk identification, and perform financial analyses such as cost/benefit, ROI, buy/build, etc.Documentation: Write detailed descriptions of user needs, program functions, and steps required to develop or modify computer programs. Prepare and document Functional and Technical Specifications for reporting and data warehouse work.Support and Enhancements: Assist in business warehouse/intelligence support and enhancements. Develop Request for Proposals (RFPs) as needed.End-User Reporting Tools: Assist in the deployment and management of end-user reporting tools and platforms, ensuring optimal functionality and user satisfaction.Collaboration: Work closely with IT and business project teams to understand reporting and data warehousing requirements, proposing effective solutions.Knowledge Transfer: Document and provide knowledge transfer to the Enterprise Reporting Team for all implemented solutions, ensuring continuity and team proficiency.Qualifications:Experience: 4-7 years of experience in the field or related area, with a strong background in electronic Case Reporting and business analysis.Knowledge: Familiarity with electronic Case Reporting and the CDC’s Promoting Interoperability Program is highly desirable.Skills: Proficient in business process mapping, reengineering, and familiar with industry standard technologies. Experience with relational database concepts and client-server concepts is beneficial.Creativity and Initiative: Demonstrated ability to work under limited supervision with considerable latitude for initiative and independent judgment. A certain degree of creativity and problem-solving skills is essential.Communication: Excellent written and verbal communication skills, with the ability to effectively convey complex technical concepts to diverse stakeholders.Teamwork: Collaborative mindset, able to work effectively within cross-functional teams and contribute positively to team dynamics.",Business Analysis,"['business process mapping', 'reengineering', 'electronic Case Reporting', 'relational database concepts', 'client-server concepts', 'Promoting Interoperability Program']","[""Bachelor's degree in Computer Science, Business Administration, or related field"", '4-7 years of experience in the field or related area']"
Test Engineer,"Location: Plymouth, MI

About SKF

SKF has been making the world spin since 1907! 

SKF is an industry-leading manufacturer dedicated to a culture of belonging, where our people flourish in an equitable environment that promotes leadership development and career growth. SKF bearings played an integral role in helping Mars Rover collect rock and regolith samples on the planet’s surface.

As an SKF team member, you will join 40,000 colleagues from more than 130 countries developing bearing technology and services that make rotation more reliable and sustainable. Sustainability is at the heart of everything we do. SKF aims to have net zero greenhouse gas emissions at all our production facilities by 2030.

SKF products keep vehicles rolling, power the machines that put food on your table, and even reach into the cosmos as part of the Mars rover mission. Founded in Sweden in 1907, today SKF is publicly traded on the Nasdaq Stockholm with annual sales in 2020 of approximately $10 billion.

Job Summary

To manage the execution of testing projects related to the validation of bearing and sealing systems and to support product development.

Job Duties and Responsibilities are (including but not limited to):

Review test requests for feasibility and propose test plan to meet customer needs.Review and apply testing specifications to meet test requirements.Design test fixtures and prepare detail and assembly drawings.Coordinate with external suppliers for tooling cost and timing.Participate in department resource planning meetings.Work with technicians to verify test rig setups are correct.Program test rig parameters and data acquisition systems.Collect test data and analyze test samples to document results.Troubleshoot test machine performance issues and assist in repair / improvements.Act as technical resource to application engineering and sales departments.Prepare test reports.Perform other duties as assigned.

Knowledge, Competence Requirements, And Desired Experiences

Ability to read and understand test specification and procedures.Effective verbal and written communication with global internal groups.Data acquisitions systems and statistical analysis.Root cause determination and post-test damage characterization.Mechanical testing experience with hydraulic and pneumatic test equipment.Experience with load cells, thermocouples, transducers, and measuring systems.Experience with project management and related software to manage project timelines.3D Parametric Design Software experience.Experience with LabVIEW software.Experience with bearings, Automotive chassis, Automotive powertrain systems, industrial, and/or agricultural systems.

Education And Experience Requirements

Bachelor’s degree in mechanical engineering.Minimum of two years of experience in a testing laboratory or related technical field.

What You’ll Love About SKF

Rest and Relaxation. Enjoy a generous PTO policy and 13 paid holidays.

Work/Life Integration. SKF supports work/life integration, home, family, community, personal well-being and health.

Diversity in the Workplace. At SKF, we strive to embed Diversity, Equity and Inclusion in everything we do. By developing a culture of belonging, our people can flourish; leading to an inclusive, equitable environment that promotes leadership, engagement and innovation.

Best in Class Benefits. SKF cares about the wellbeing of our employees. Comprehensive healthcare options to fit your needs and opt out payment. Added benefits include company paid life insurance, STD, LTD. Supplemental benefits include critical illness coverage, tuition reimbursement, employee discount programs, and much more!

Invest in your Future. Participate in our 401K program that boasts a 10% employer contribution: 100% match up to 5% of your elected contribution (100% Vested) plus an additional 5% company contribution.

Reports to: Testing and Laboratory Manager NAM

Location: Plymouth, MI

Job ID: 19546

SKF provides equal employment [and affirmative action] opportunities to applicants and employees without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability.

By applying to this job you acknowledge how SKF treats candidate data. Click HERE to review the SKF Data Privacy Consent Statement.",Software Development / Engineering,"['test specification', 'data acquisitions systems', 'statistical analysis', 'root cause determination', 'post-test damage characterization', 'mechanical testing', 'hydraulic test equipment', 'pneumatic test equipment', 'load cells', 'thermocouples', 'transducers', 'measuring systems', 'project management', 'LabVIEW software', '3D Parametric Design Software']","['Bachelor’s degree in mechanical engineering', 'Minimum of two years of experience in a testing laboratory or related technical field']"
Web Developer,"DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.
We are looking for a proficient Web Developer to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL) and able to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
Benefits:
This is a full-time or part-time REMOTE positionYou’ll be able to choose which projects you want to work onYou can work on your own scheduleProjects are paid hourly, starting at $40+ USD per hour, with bonuses for high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbot Write high-quality answers and code snippetsEvaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English (native or bilingual)Proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL)Excellent writing and grammar skillsA bachelor's degree (completed or in progress)
Note: Data Annotation payment is made via PayPal. We will never ask for any money from you. PayPal will handle any currency conversions from USD.",Software Development / Engineering,"['Python', 'JavaScript', 'HTML', 'C++', 'C#', 'SQL']","[""Bachelor's degree (completed or in progress)"", 'Fluency in English (native or bilingual)', 'Excellent writing and grammar skills']"
Web Developer,"DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.
We are looking for a proficient Web Developer to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL) and able to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
Benefits:
This is a full-time or part-time REMOTE positionYou’ll be able to choose which projects you want to work onYou can work on your own scheduleProjects are paid hourly, starting at $40+ USD per hour, with bonuses for high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbot Write high-quality answers and code snippetsEvaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English (native or bilingual)Proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL)Excellent writing and grammar skillsA bachelor's degree (completed or in progress)
Note: Data Annotation payment is made via PayPal. We will never ask for any money from you. PayPal will handle any currency conversions from USD.",Software Development / Engineering,"['Python', 'JavaScript', 'HTML', 'C++', 'C#', 'SQL']","[""Bachelor's degree (completed or in progress)"", 'Fluency in English (native or bilingual)', 'Excellent writing and grammar skills']"
Data Architect,"Job Description:Overall 15 Years experience in IT IndustryMinimum 3 years of experience as Architect on Analytics SolutionsMinimum 8 years experience in Data Cloud ProgramsExperience in architecting data ingestion and ETL frameworks capable of processing structured un semi – structured data set in batchExperience in performing Design Development and deployment using Azure Services – ADF Azure Data Lake Data bricks Python etcDevelop and maintain Scalable Architecture database design and data pipelinesDesign and Develop the data lake data warehouse using Data bricks Azure Cloud ServicesWork with business and application stakeholders to implement data strategies build data flows and develop Data ModelsProvide technical guidance mentoring and code review design level technical best practices
Responsibilities:Design develop and implement data architectures for Data bricks applications including data models data warehouses and ETL pipelinesDesign data structures for efficient access and query performanceDevelop and maintain data pipelines for effective data extraction transformation and loadingOptimize data architectures for scalability reliability and performanceCollaborate with cross functional teams to identify data requirements and design solutionsMonitor and optimize data performance in productionDevelop and maintain data quality standardsEvaluate and recommend new technologies and tools to improve data architectureDevelop and maintain data security standardsProvide technical guidance and mentorship to junior team members",Data & Analytics,"['Data Architecture', 'ETL Frameworks', 'Azure Services', 'Python', 'Database Design', 'Data Pipelines', 'Scalable Architecture', 'Data Warehousing', 'Data Modeling', 'Data Quality Standards', 'Data Security']","['15 Years experience in IT Industry', 'Minimum 3 years of experience as Architect on Analytics Solutions', 'Minimum 8 years experience in Data Cloud Programs', ""Bachelor's degree or higher required for most positions"", ""Master's degree or higher preferred for senior positions""]"
Data Analyst,"DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule. 
We are looking for a proficient Data Analyst to join our team to train our AI chatbots. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL) and able to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
Benefits:
This is a full-time or part-time REMOTE positionYou’ll be able to choose which projects you want to work onYou can work on your own scheduleProjects are paid hourly, starting at $40+ USD per hour, with bonuses for high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbotWrite high-quality answers and code snippetsEvaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English (native or bilingual)Proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL)Excellent writing and grammar skillsA bachelor's degree (completed or in progress)
Note: Data Annotation payment is made via PayPal. We will never ask for any money from you. PayPal will handle any currency conversions from USD.",Data & Analytics,"['Python', 'JavaScript', 'HTML', 'C++', 'C#', 'SQL']","[""Bachelor's degree (completed or in progress)"", 'Fluency in English (native or bilingual)', 'Excellent writing and grammar skills']"
Senior Software Engineer,"About Us: myLaurel is the leader in home-based acute care, tailored for the needs of frail and complex patients. Our Recovery at HomeTM , Rapid Advanced CareTM , and Acute Care at HomeTM models provide unmatched readmission prevention and utilization reduction for high-risk populations. By providing at-home and virtual services, patients avoid the conventional acute care journey from ER to admission to post-acute care, creating dramatic cost savings, avoiding hospital-acquired conditions and radically improving patient and caregiver experiences. 
Summary Description:The Senior Software Engineer role will be joining a growing Product and Engineering team working on creating systems and tooling that support the delivery of care by our healthcare providers, field responders, and patient coordination teams.The Senior Software Engineer role will be responsible for supporting both the front and backend build out of our core web applications; helping design and architect our new capabilities, and supporting the continued efforts to integrate different SaaS and software platforms into a seamless and unified user experience. The most important characteristic of our software engineers is that they are able to understand our business and operational needs and apply creative problem solving while recognizing that technology is not the end goal, but rather a tool for helping us give extraordinary care to people who need it most.
Key Responsibilities:Development Excellence: Architect and implement robust, maintainable, efficient code while maximizing security, performance, reliability, and maintainability.Ensure the stability of these solutions with comprehensive unit and integration tests.Participate in code reviews providing technical guidance to ensure adherence to coding standards, design principles, and best practices.Integration Expertise: Focus on seamless integration of software and SaaS platforms, enhancing the overall user experience.Data Stewardship: Spearhead the growth and refinement of our databases, curate our data models, and streamline our data pipelines.Collaboration: Engage closely with Product Management to provide clarity in scoping and requirements, including co-writing technical requirements.Collaborate with cross-functional teams to define/design/ship new features.Offer early and valuable engineering input during user and use-case discussions with non-engineering teams.System Reliability: Troubleshoot and resolve technical issues and identify areas for improvement.Participate in on-call rotations, ensuring that our platforms remain reliable and efficient for all users.
Key Competencies: Strong interpersonal and communication skillsAbility to communicate and collaborate with a full spectrum of stakeholders, from medical staff and product manager to senior leadershipAbility to plan for and consistently achieve constant, incremental improvement to our platform week over weekFlexibility and creativity in solving technical challengesComfort with evolving processesExpertise in both software development and workflow designExperience in a startup or similar fast-paced environmentTrack record of accountability for work
Requirements:Experience with software development in healthcare or other highly-regulated industries (such as finance or security)Minimum 7+ years of experience working with:Node.jsTypescriptReact / RemixPostgreSQLAPI DevelopmentAWS and cloud native servicesFamiliarity with the following preferred but not required:Working with ETL/ELT pipelinesPythonSOC2 Standards
Special ConsiderationsWe are a remote-first company with occasional travel for company on-sites. We operate primarily on East Coast Standard Time (EST), +/- 1 hour. This role will require prolonged periods of sitting at a desk and working on a computer.Must be based in the US
LocationRemote, but based in the US
Salary Range:$145,000-$160,000",Software Development / Engineering,"['software development', 'Node.js', 'Typescript', 'React / Remix', 'PostgreSQL', 'API Development', 'AWS and cloud native services']","['7+ years of experience working with Node.js', '7+ years of experience working with Typescript', '7+ years of experience working with React / Remix', '7+ years of experience working with PostgreSQL', 'Experience with API Development', 'Experience with AWS and cloud native services']"
Test Engineer,"

Are you ready to explore a world of possibilities?

Join our DTCC family, and you’ll grow your expertise and become the best version of you. As you embark on a new journey, you’ll be supported and surrounded by other experts as you learn new skills, advance your career, and see the impact of your efforts every day.

Pay and Benefits:

 Competitive compensation, including base pay and annual incentiveComprehensive health and life insurance and well-being benefits, based on locationRetirement benefitsPaid Time Off and other leave of absenceDTCC offers a flexible/hybrid model of 3 days onsite and 2 days remote (Onsite Tuesdays, Wednesdays and a third day of your choosing)  

Why you'll love this job:

The Automation Test Engineer will be responsible for developing test plans and implementing those plans against the corresponding test procedures. They should also be accountable for the development of automation scripts in Selenium java and writing SQL queries.

Your Primary Responsibilities:

 Prepare, maintain, and implement test cases based on user stories; present results and supervise defects to closure.Implement automated test scripts.Maintain traceability from business requirements through test cases to automated scripts.Review test cases / automation approach with collaborator to ensure comprehensive coverage and acquire feedback.Track test execution breakthroughs, report on issues and risks with the potential to affect project timelines.Construct appropriate end-to-end business scenarios through the application of a broad understanding of business objectives and goals.Collaborate with delivery pipeline teams to drive adoption and resolve open issues.Identify dependencies for environmental and data requirements; handle and maintain environment and data.Provide mentorship to colleagues related to test coverage and test cases.Develop a detailed understanding of the product being delivered.Responsible for process compliance & associated documentation.Aligns risk and control processes into day-to-day responsibilities to supervise and mitigate risk; calls out appropriately.  

**NOTE: The Primary Responsibilities of this role are not limited to the details above. **

Qualifications: 

 Minimum of 4 years of related experienceBachelor's degree and/or equivalent experience  

Talents Needed for Success:

 Experience with Selenium Java and TestNG with good hands-on experienceExtensive experience with testing modern scripting language-based components.Experience in writing sophisticated SQL queries.Experience with JIRA, Micro-focus ALM, Bitbucket, Git, and JenkinsExperienced in Agile/Waterfall, onsite/offshore work model and coordination.In depth knowledge of the software implementation lifecycle (specifically the testing model, methodology, and processes),Experience with front-end & backend testing using Java and Selenium.Detailed understanding of smoke testing, and non-black box testing, as well as regression testingRequires the ability to work well with both business clients and technical team and the ability to work independently, both individually and as part of a team.Preferable experience in the Capital Market domain  

The salary range is indicative for roles at the same level within DTCC across all US locations. Actual salary is determined based on the role, location, individual experience, skills, and other considerations. We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform crucial job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.

",Software Development / Engineering,"['Selenium Java', 'TestNG', 'SQL queries', 'JIRA', 'Micro-focus ALM', 'Bitbucket', 'Git', 'Jenkins', 'Agile/Waterfall', 'Front-end & backend testing using Java and Selenium']","[""Bachelor's degree and/or equivalent experience"", 'Minimum of 4 years of related experience']"
Web Developer,"DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.
We are looking for a proficient Web Developer to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL) and able to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
Benefits:
This is a full-time or part-time REMOTE positionYou’ll be able to choose which projects you want to work onYou can work on your own scheduleProjects are paid hourly, starting at $40+ USD per hour, with bonuses for high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbot Write high-quality answers and code snippetsEvaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English (native or bilingual)Proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL)Excellent writing and grammar skillsA bachelor's degree (completed or in progress)
Note: Data Annotation payment is made via PayPal. We will never ask for any money from you. PayPal will handle any currency conversions from USD.",Software Development / Engineering,"['Python', 'JavaScript', 'HTML', 'C++', 'C#', 'SQL']","[""Bachelor's degree (completed or in progress)"", 'Fluency in English (native or bilingual)', 'Excellent writing and grammar skills']"
Data Analyst,"DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule. 
We are looking for a proficient Data Analyst to join our team to train our AI chatbots. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL) and able to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
Benefits:
This is a full-time or part-time REMOTE positionYou’ll be able to choose which projects you want to work onYou can work on your own scheduleProjects are paid hourly, starting at $40+ USD per hour, with bonuses for high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbotWrite high-quality answers and code snippetsEvaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English (native or bilingual)Proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL)Excellent writing and grammar skillsA bachelor's degree (completed or in progress)
Note: Data Annotation payment is made via PayPal. We will never ask for any money from you. PayPal will handle any currency conversions from USD.",Data & Analytics,"['Python', 'JavaScript', 'HTML', 'C++', 'C#', 'SQL']","[""Bachelor's degree (completed or in progress)"", 'Fluency in English (native or bilingual)', 'Excellent writing and grammar skills']"
Web Developer,"DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.
We are looking for a proficient Web Developer to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL) and able to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
Benefits:
This is a full-time or part-time REMOTE positionYou’ll be able to choose which projects you want to work onYou can work on your own scheduleProjects are paid hourly, starting at $40+ USD per hour, with bonuses for high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbot Write high-quality answers and code snippetsEvaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English (native or bilingual)Proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL)Excellent writing and grammar skillsA bachelor's degree (completed or in progress)

Note: Data Annotation payment is made via PayPal. We will never ask for any money from you. PayPal will handle any currency conversions from USD.",Software Development / Engineering,"['Python', 'JavaScript', 'HTML', 'C++', 'C#', 'SQL']","[""Bachelor's degree (completed or in progress)"", 'Fluency in English (native or bilingual)', 'Excellent writing and grammar skills']"
Web Developer,"DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.
We are looking for a proficient Web Developer to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL) and able to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
Benefits:
This is a full-time or part-time REMOTE positionYou’ll be able to choose which projects you want to work onYou can work on your own scheduleProjects are paid hourly, starting at $40+ USD per hour, with bonuses for high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbot Write high-quality answers and code snippetsEvaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English (native or bilingual)Proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL)Excellent writing and grammar skillsA bachelor's degree (completed or in progress)
Note: Data Annotation payment is made via PayPal. We will never ask for any money from you. PayPal will handle any currency conversions from USD.",Software Development / Engineering,"['Python', 'JavaScript', 'HTML', 'C++', 'C#', 'SQL']","[""Bachelor's degree (completed or in progress)"", 'Fluency in English (native or bilingual)', 'Excellent writing and grammar skills']"
Web Developer,"DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.
We are looking for a proficient Web Developer to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL) and able to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
Benefits:
This is a full-time or part-time REMOTE positionYou’ll be able to choose which projects you want to work onYou can work on your own scheduleProjects are paid hourly, starting at $40+ USD per hour, with bonuses for high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbot Write high-quality answers and code snippetsEvaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English (native or bilingual)Proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL)Excellent writing and grammar skillsA bachelor's degree (completed or in progress)
Note: Data Annotation payment is made via PayPal. We will never ask for any money from you. PayPal will handle any currency conversions from USD.",Software Development / Engineering,"['Python', 'JavaScript', 'HTML', 'C++', 'C#', 'SQL']","[""Bachelor's degree (completed or in progress)"", 'Fluency in English (native or bilingual)', 'Excellent writing and grammar skills']"
